question,similar_question,expected_tag,predicted_tag,expected_answer,predicted_answer,probability,time_taken
"আগে ভুলে লক হয়েছিল, এখন ঠিক তথ্য দিলেও লক থাকছে—কি করণীয়?",সঠিক তথ্য দিয়েও লকড থাকলে কী করা যায়,account_locked_retrials,information_correct_but_account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।,"আমরা আন্তরিকভাবে দুঃখিত, আপনার দেয়া তথ্যটি সঠিক নয়। সঠিক তথ্য দিয়ে পুনরায় চেষ্টা করুন। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9774850606918335,0.10500288009643555
ঠিকানা বদলানোর পর এনআইডি অনলাইন ডাউনলোড অপশন দেখা যাচ্ছে না—এখন কীভাবে এগোব?,এনআইডি পরিবর্তনের পর ডাউনলোড করতে গেলে অপশন দেখায় না কী করণীয়,address_change_card_download_process,no_download_option_after_correction,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।,"অনুগ্রহপূর্বক সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করুন। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9857625961303711,0.10494422912597656
"ঠিকানা হালনাগাদ চেয়েছি, বার্তা পেয়েছি—অ্যাপ্রুভাল হতে সাধারণত কত কর্মদিবস লাগে?",স্থায়ী ঠিকানা হালনাগাদ হতে কত কর্মদিবস সময় লাগে,address_change_sms_to_mobile_how_many_days_to_get_approved,permanent_address_change_process_duration,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।,"স্থায়ী ঠিকানা পরিবর্তনের বিষয়টি তদন্ত সাপেক্ষ বিষয় হওয়ায়, তদন্ত প্রতিবেদন প্রাপ্তি সাপেক্ষে নিষ্পত্তি করা হয়। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9699175953865051,0.10468435287475586
Postal Vote BD অ্যাপে প্রক্রিয়া সম্পন্ন দেখালে এরপর কী করতে হবে?,postal vote bd অ্যাপে রেজিস্ট্রেশন সম্পন্নের জন্য ধাপসমূহ কী,after_success_login_button,registration_steps_count,লগইন বাটনে ক্লিক করুন।,"নিবন্ধন প্রক্রিয়ায় মোট চারটি প্রধান ধাপ আছে: ১. জাতীয় পরিচয়পত্র যাচাইকরণ, ২. লাইভনেস চেকআপ ৩. NID কার্ড সহ সেলফি যাচাইকরণ, ৪. পাসপোর্ট এবং বিদেশী ঠিকানা তথ্য প্রদান। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9840120673179626,0.10576891899108887
জাতীয় পরিচয়পত্রে জন্মতারিখ সংশোধন করতে কী কী কাগজ চান?,জন্ম নিবন্ধন নম্বর সংশোধনের জন্য কি কি কাগজপত্র লাগে,age_and_dob_correction,birth_certificate_number_correct_or_add_document_new,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।","অনলাইন জন্ম সনদ এর কপি দাখিলপূর্বক আবেদন করতে হবে। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9836291670799255,0.10115599632263184
NID DOB correction-এর জন্য কি কি সাপোর্টিং ডকুমেন্ট লাগবে?,nid name correctionএর জন্য কোন কোন কাগজপত্র লাগবে,age_and_dob_correction,unable_to_answer,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।","দুঃখিত, আপনার প্রশ্নের উত্তরটি আমার জানা নেই। আপনার এই প্রশ্নের উত্তর জানতে ১০৫-এ কল করে সরাসরি আমাদের প্রতিনিধির সাথে কথা বলুন, ধন্যবাদ। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9697304964065552,0.10327410697937012
জন্মতারিখ সংশোধনে জাতীয় পরিচয়পত্র কর্তৃপক্ষ কী কী কাগজ চায়?,জন্ম নিবন্ধন নম্বর সংশোধনের জন্য কি কি কাগজপত্র লাগে,age_and_dob_correction,birth_certificate_number_correct_or_add_document_new,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।","অনলাইন জন্ম সনদ এর কপি দাখিলপূর্বক আবেদন করতে হবে। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9818038940429688,0.09726977348327637
পোস্টাল ভোট BD অ্যাপটি সঠিকভাবে চালাতে কী সেটিং দরকার?,পোস্টাল ভোট বিডি অ্যাপের জন্য আগে কী কী তথ্য ও সেটিংস ঠিক করা দরকার,app_requirements_internet_gps_vpn,preparation_before_app_use,"সক্রিয় ইন্টারনেট সংযোগ, GPS বা লোকেশন সেবা চালু থাকতে হবে এবং VPN সেবা বন্ধ থাকতে হবে।","সক্রিয় ইন্টারনেট সংযোগ আছে কিনা চেক করুন, লোকেশন সেবা চালু করুন ও VPN বন্ধ করুন। এরই সাথে মোবাইল নম্বর, NID ও পাসপোর্ট হাতের কাছে রাখুন। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9874355792999268,0.10247969627380371
পোস্টাল ভোট বিডি অ্যাপের জন্য কী কী কনফিগারেশন লাগবে?,পোস্টাল ভোট বিডি অ্যাপে প্রক্রিয়া সম্পন্ন করতে কী কী প্রয়োজন,app_requirements_internet_gps_vpn,process_requirements,"সক্রিয় ইন্টারনেট সংযোগ, GPS বা লোকেশন সেবা চালু থাকতে হবে এবং VPN সেবা বন্ধ থাকতে হবে।","পোস্টাল ভোট বিডি অ্যাপে প্রক্রিয়া সম্পন্ন করতে আপনার বৈধ জাতীয় পরিচয়পত্র (NID), বৈধ পাসপোর্ট, বিদেশের সম্পূর্ণ ঠিকানা থাকতে হবে। এছাড়া ভালো ইন্টারনেট সংযোগ, ক্যামেরা সহ স্মার্টফোন ও পর্যাপ্ত আলোকিত স্থান প্রয়োজন হবে। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9867463707923889,0.10344147682189941
পোস্টাল ভোট বিডি অ্যাপ ব্যবহার করতে আবশ্যক শর্তগুলো কী?,পোস্টাল ভোট অ্যাপ ব্যবহার পূর্বে কী কী শর্ত পূরণ করতে হবে,app_requirements_internet_gps_vpn,preparation_before_app_use,"সক্রিয় ইন্টারনেট সংযোগ, GPS বা লোকেশন সেবা চালু থাকতে হবে এবং VPN সেবা বন্ধ থাকতে হবে।","সক্রিয় ইন্টারনেট সংযোগ আছে কিনা চেক করুন, লোকেশন সেবা চালু করুন ও VPN বন্ধ করুন। এরই সাথে মোবাইল নম্বর, NID ও পাসপোর্ট হাতের কাছে রাখুন। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9908633232116699,0.1076505184173584
