sample_id,expected_tag,question,expected_answer,available_questions_for_tag,sample_index_within_tag,questions_sampled_for_tag
1,account_locked_retrials,লক হলে কি নির্দিষ্ট ঘন্টা পার না হলে খুলবে না?,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।,173,1,1
2,account_locked_retrials_2_followup_a,অনলাইন প্ল্যাটফর্মে লক স্ট্যাটাস কতক্ষণ ধরে থাকে?,অনলাইনে লক স্ট্যাটাস ৮ ঘণ্টা পর্যন্ত থাকতে পারে।,20,1,1
3,account_locked_retrials_followup_b,NID অনলাইন একাউন্ট লক-আউটের পর সাধারণত কত ঘণ্টা অপেক্ষা করলে আবার লগইন করা যায়?,এ ধরনের লোক সাধারণত আটঘন্টা পরে খুলে যায়,20,1,1
4,account_locked_retrials_followup_c,"বিষয়টি কি ব্রাউজার/অ্যাপ ক্যাশ, নাকি ডিভাইস-সাইডের কোনো ত্রুটি থেকে উদ্ভূত?",ব্রাউজার জনিত কোন সমস্যার জন্য এ ধরনের সমস্যা হওয়ার সম্ভাবনা নেই।,20,1,1
5,account_locked_retrials_followup_d,সমস্যা অব্যাহত থাকলে সহায়তার জন্য কাদের সাথে যোগাযোগ করব?,সমস্যা সমাধান না হলে নির্বাচন কমিশন সচিবালয় সিস্টেম এনালিস্ট এর সাথে যোগাযোগ করতে হবে,20,1,1
6,account_locked_unlock_request,"এনআইডি প্রোফাইল ব্লক হয়েছে, জরুরিভাবে আনলক করার পদ্ধতি কী?","আমরা আন্তরিকভাবে দুঃখিত, এটি একটি স্বয়ংক্রিয় ব্যবস্থা। তাৎক্ষণিকভাবে আনলক করার সুযোগ নেই। অনুগ্রহপূর্বক আট ঘণ্টা পর সঠিক তথ্য দিয়ে পুনরায় চেষ্টা করুন।",182,1,1
7,account_locked_unlock_request_followup_a,আগে থেকে আনলক করার কোনো সুবিধা কি আছে লকড একাউন্টের ক্ষেত্রে?,নির্ধারিত সময়ের পূর্বে এটি আনলক করার কোন সুযোগ নেই।,20,1,1
8,account_locked_unlock_request_followup_d,লক দীর্ঘসময় ধরে আটকে থাকলে সাহায্য পাওয়া যাবে কোথায়?,দীর্ঘ সময় লক না খুললে ১০৫ এ যোগাযোগ করার জন্য অনুরোধ করা হচ্ছে।,20,1,1
9,address_cahgne_but_no_post_office_or_office_code_followup_a,জাতীয় পরিচয়পত্র সংক্রান্ত ফি কোথায় গিয়ে দিতে হবে? অফিসের ঠিকানা ও কাজের সময় বলুন।,আপনি যে এলাকার ভোটার সেই থানা / উপজেলা নির্বাচন অফিসে যেতে হবে। অফিসের ঠিকানা জানতে অনুগ্রহ পূর্বক গুগল ম্যাপের সহযোগিতা নিবেন। সকাল ৯.০০ ঘটিকা থেকে বিকাল ৫.০০ ঘটিকা পর্যন্ত সাধারনত অফিস খোলা থাকে (সরকারী ছুটি ব্যতীত)।,20,1,1
10,address_cahgne_but_no_post_office_or_office_code_followup_b,অফিসে গিয়ে NID সেবার ফি জমা দেওয়ার সময় কী নথি লাগবে?,আপনার পিতা মাতার এনআইডি কার্ড ও আপনার জন্ম সনদপত্র এবং আপনার এনআইডি কার্ড সঙ্গে নিতে হবে,20,1,1
11,address_change_card_download_process,ঠিকানা আপডেটের পর eNID ডাউনলোড লিংক কেন অদৃশ্য?,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।,172,1,1
12,address_change_card_download_process_followup_a,ঠিকানা বদলের পর ডাউনলোড অপশন দৃশ্যমান না হলে আগে কীভাবে এগোতে হবে?,ঠিকানা পরিবর্তন হওয়ার পর ডাউনলোড অপশন না পেলে প্রথমে অনলাইনে মোবাইল ব্যাংকিং সেবার মাধ্যমে ফী প্রদান করে রি-ইস্যু আবেদন করতে হবে।,20,1,1
